,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Fiscal Year
",Table,All major crops,Food crops,Fibre crops,Other crops,Wheat,Maize,Rice,Sugarcance,Cotton,,,,,,,
2000-01,INDEX OF AGRICULTURAL PRODUCTION,93,91.2,95,94,-,-,-,-,-,,,,,,,
2001-02,INDEX OF AGRICULTURAL PRODUCTION,97,85.2,94.4,103.6,-,-,-,-,-,,,,,,,
2002-03,INDEX OF AGRICULTURAL PRODUCTION,104,91.8,90.8,112.1,-,-,-,-,-,,,,,,,
2003-04,INDEX OF AGRICULTURAL PRODUCTION,107,94.9,89.4,115.1,-,-,-,-,-,,,,,,,
2004-05,INDEX OF AGRICULTURAL PRODUCTION,104,106.4,126.9,101.9,-,-,-,-,-,,,,,,,
2005-06,INDEX OF AGRICULTURAL PRODUCTION,101,107,116,95.6,100,100,100,100,100,,,,,,,
2006-07,INDEX OF AGRICULTURAL PRODUCTION,117,115,114,118,109.5,99.3,98,122.6,98.7,,,,,,,
2007-08,INDEX OF AGRICULTURAL PRODUCTION,126,108,104,138,98.5,115.9,100.3,143.1,89.5,,,,,,,
2008-09,INDEX OF AGRICULTURAL PRODUCTION,114,124,105,108,113,115.5,125.3,112,90.8,,,,,,,
2009-10,INDEX OF AGRICULTURAL PRODUCTION,111,119,115,106,109.6,104.9,124.1,110.5,99.2,,,,,,,
2010-11,INDEX OF AGRICULTURAL PRODUCTION,119,120,102,119,118.5,119.2,87,123.8,88,,,,,,,
2011-12,INDEX OF AGRICULTURAL PRODUCTION,123,120,121,125,110.3,139.5,111.1,130.7,104.4,,,,,,,
2012-13,INDEX OF AGRICULTURAL PRODUCTION,-,-,-,-,113.8,135.7,99.8,142.7,100.1,,,,,,,
2013-14,INDEX OF AGRICULTURAL PRODUCTION,-,-,-,-,122.1,159,122.6,151,98.1,,,,,,,
2014-15,INDEX OF AGRICULTURAL PRODUCTION,-,-,-,-,117.9,158.7,126.2,140.7,107.2,,,,,,,
2015-16,INDEX OF AGRICULTURAL PRODUCTION,-,-,-,-,120.5,169.5,122.6,146.6,76.2,,,,,,,
2016-17P,INDEX OF AGRICULTURAL PRODUCTION,-,-,-,-,125.4,197.2,123.5,169,82,,,,,,,
2017-18P,INDEX OF AGRICULTURAL PRODUCTION,-,-,-,-,119.8,183.3,134.2,181.6,91.7,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
